rep,well,row,col,host,phage.time.shift,position
B,E7,E,7,21,DSM,center
B,F7,F,7,22,DSM,center
B,G7,G,7,ANC2,DSM,center
B,H7,H,7,blank,blank,edge
B,A8,A,8,blank,blank,edge
B,B8,B,8,18,-1.0E+00,center
B,C8,C,8,19,-1.0E+00,center
B,D8,D,8,20,-1.0E+00,center
B,E8,E,8,21,-1.0E+00,center
B,F8,F,8,22,-1.0E+00,center
B,G8,G,8,ANC2,-1.0E+00,center
B,H8,H,8,blank,blank,edge
B,A9,A,9,blank,blank,edge
B,B9,B,9,18,0.0E+00,center
B,C9,C,9,19,0.0E+00,center
B,D9,D,9,20,0.0E+00,center
B,E9,E,9,21,0.0E+00,center
B,F9,F,9,22,0.0E+00,center
B,G9,G,9,ANC2,0.0E+00,center
B,H9,H,9,blank,blank,edge
B,A10,A,10,blank,blank,edge
B,B10,B,10,18,1.0E+00,center
B,C10,C,10,19,1.0E+00,center
B,D10,D,10,20,1.0E+00,center
B,E10,E,10,21,1.0E+00,center
B,F10,F,10,22,1.0E+00,center
B,G10,G,10,ANC2,1.0E+00,center
B,H10,H,10,blank,blank,edge
B,A11,A,11,blank,blank,edge
B,B11,B,11,18,DSM,center
B,C11,C,11,19,DSM,center
B,D11,D,11,20,DSM,center
B,E11,E,11,21,DSM,center
B,F11,F,11,22,DSM,center
B,G11,G,11,ANC2,DSM,center
B,H11,H,11,blank,blank,edge
B,A12,A,12,blank,blank,edge
B,B12,B,12,blank,blank,edge
B,C12,C,12,blank,blank,edge
B,D12,D,12,blank,blank,edge
B,E12,E,12,blank,blank,edge
B,F12,F,12,blank,blank,edge
B,G12,G,12,blank,blank,edge
B,H12,H,12,blank,blank,edge
